rank,anime,studios
398,Hachimitsu to Clover II,J.C.Staff
163,Kimetsu no Yaiba,ufotable
239,Wu Shan Wu Xing: Xichuan Huan Zi Lin,Samsara Animation Studio
230,Initial D First Stage,Gallop
230,Initial D First Stage,Studio Comet
614,Black Lagoon,Madhouse
797,Overlord III,Madhouse
532,Mirai Shounen Conan,Nippon Animation
0,Let You Down,Studio Massket
10,Gintama': Enchousen,Sunrise
621,Mairimashita! Iruma-kun 2nd Season,Bandai Namco Pictures
6,Gintama°,Bandai Namco Pictures
133,Hotaru no Haka,Studio Ghibli
289,Beck,Madhouse
366,Shen Yin Wangzuo 2nd Season,Shenman Entertainment
0,Yuusha,Madhouse
869,Quanzhi Gaoshou,B.CMAY PICTURES
730,Working!!!,A-1 Pictures
175,Mushishi Zoku Shou: Odoro no Michi,Artland
248,Kidou Senshi Gundam: The Origin,Sunrise
19,Koe no Katachi,Kyoto Animation
139,Samurai Champloo,Manglobe
907,Tonikaku Kawaii,Seven Arcs
92,Ping Pong the Animation,Tatsunoko Production
499,Meitantei Conan Movie 14: Tenkuu no Lost Ship,Tokyo Movie Shinsha
499,Meitantei Conan Movie 14: Tenkuu no Lost Ship,TMS Entertainment
178,Kono Oto Tomare! Part 2,Platinum Vision
727,Rurouni Kenshin: Meiji Kenkaku Romantan - Kyoto Douran,LIDENFILMS
82,Shigatsu wa Kimi no Uso,A-1 Pictures
0,Imaizumin Chi wa Douyara Gal no Tamariba ni Natteru Rashii,T-Rex
711,Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 3 - Yakusoku,Studio Gokumi
561,Skip Beat!,HAL Film Maker
899,Meitantei Conan Movie 01: Tokei Jikake no Matenrou,TMS Entertainment
904,Paradise Kiss,Madhouse
400,Mo Dao Zu Shi Q,B.CMAY PICTURES
919,Boku no Hero Academia,Bones
0,MILG?AM,OTOIRO
74,Mononoke Hime,Studio Ghibli
36,Kizumonogatari III: Reiketsu-hen,Shaft
192,Yuru Camp? Movie,C-Station
804,Promare,Trigger
902,One Piece: Episode of East Blue - Luffy to 4-nin no Nakama no Daibouken,Toei Animation
777,Usagi Drop Specials,Production I.G
698,Koukaku Kidoutai 2.0,Production I.G
981,Gekkan Shoujo Nozaki-kun,Doga Kobo
802,Ore Monogatari!!,Madhouse
620,Lovely?Complex,Toei Animation
986,Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou,Production I.G
171,Haikyuu!!,Production I.G
571,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 2,David Production
816,Date A Live II: Kurumi Star Festival,Production IMS
717,Hyouge Mono,Bee Train
857,Kizumonogatari: Koyomi Vamp,Shaft
478,Nisemonogatari,Shaft
555,Kimi wa Houkago Insomnia,LIDENFILMS
349,Spy x Family Part 2,Wit Studio
349,Spy x Family Part 2,CloverWorks
732,Tate no Yuusha no Nariagari,Kinema Citrus
545,Boku no Hero Academia 2nd Season,Bones
890,IDOLiSH7 Movie: LIVE 4bit - BEYOND THE PERiOD,Orange
27,Shingeki no Kyojin: The Final Season - Kanketsu-hen,MAPPA
140,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,David Production
489,Golden Kamuy 4th Season,Brain's Base
286,Tunshi Xingkong 2nd Season,Sparkly Key Animation Studio
716,Hokuto no Ken,Toei Animation
262,Major S6,SynergySP
195,Natsume Yuujinchou Roku Specials,Shuka
562,The Fable,Tezuka Productions
557,Quanzhi Gaoshou: Dianfeng Rongyao,Colored Pencil Animation
923,K-On!!: Keikaku!,Kyoto Animation
8,Gintama',Sunrise
967,Shingeki no Kyojin: Lost Girls,Wit Studio
667,Kara no Kyoukai Movie: Mirai Fukuin,ufotable
214,Haikyuu!! To the Top,Production I.G
700,Mahou Shoujo Lyrical Nanoha A's,Seven Arcs
202,Houseki no Kuni,Orange
699,Romantic Killer,domerica
93,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Kinema Citrus
164,Owarimonogatari,Shaft
335,Doupo Cangqiong 4th Season,Motion Magic
126,Fruits Basket 2nd Season,TMS Entertainment
704,Rising Impact Season 2,Lay-duce
818,Fanren Xiu Xian Chuan 2nd Season,Original Force
818,Fanren Xiu Xian Chuan 2nd Season,Wonder Cat Animation
850,Code Geass: Hangyaku no Lelouch I - Koudou,Sunrise
911,Sekaiichi Hatsukoi OVA,Studio Deen
630,Tonikaku Kawaii: SNS,Seven Arcs
318,Tenkuu no Shiro Laputa,Studio Ghibli
47,Cowboy Bebop,Sunrise
241,Fumetsu no Anata e,Brain's Base
892,Kami nomi zo Shiru Sekai II,Manglobe
480,Princess Tutu,HAL Film Maker
626,Kimi ni Todoke,Production I.G
467,Working!!! Lord of the Takanashi,A-1 Pictures
136,Sora yori mo Tooi Basho,Madhouse
396,Dragon Ball Super: Broly,Toei Animation
57,One Piece,Toei Animation
705,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,Studio Deen
33,Mob Psycho 100 II,Bones
253,Kage no Jitsuryokusha ni Naritakute! 2nd Season,Nexus
575,Kuroshitsuji: Book of Circus,A-1 Pictures
255,Bakemonogatari,Shaft
271,Hunter x Hunter: Original Video Animation,Nippon Animation
951,Hanasaku Iroha Movie: Home Sweet Home,P.A. Works
835,Sakigake!! Cromartie Koukou,Production I.G
806,Summer Ghost,Flat Studio
176,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,White Fox
31,Gintama. Shirogane no Tamashii-hen,Bandai Namco Pictures
76,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Studio Bind
693,Code Geass: Hangyaku no Lelouch III - Oudou,Sunrise
695,Durarara!!x2 Shou,Shuka
736,Wu Liuqi: Jiyi Suipian,Sharefun Studio
736,Wu Liuqi: Jiyi Suipian,AHA Entertainment
765,Full Moon wo Sagashite,Studio Deen
922,Hoozuki no Reitetsu 2nd Season: Sono Ni,Studio Deen
960,Seitokai Yakuindomo Movie,GoHands
573,Kidou Senshi Gundam: Tekketsu no Orphans,Sunrise
152,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,ufotable
89,Haikyuu!! Second Season,Production I.G
887,Doupo Cangqiong 3rd Season,Motion Magic
91,Made in Abyss: Retsujitsu no Ougonkyou,Kinema Citrus
474,Interstella5555: The 5tory of The 5ecret 5tar 5ystem,Toei Animation
776,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,Madhouse
731,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,J.C.Staff
898,Magic Kaito 1412,A-1 Pictures
938,Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai,Studio Deen
868,Ookiku Furikabutte,A-1 Pictures
18,Gintama,Sunrise
703,ReLIFE,TMS Entertainment
399,Maison Ikkoku,Studio Deen
246,Usagi Drop,Production I.G
320,Gyakkyou Burai Kaiji: Ultimate Survivor,Madhouse
117,Shingeki no Kyojin,Wit Studio
0,Road of Naruto,Pierrot
80,Made in Abyss,Kinema Citrus
269,Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,Production I.G
85,Tengen Toppa Gurren Lagann,Gainax
287,Tunshi Xingkong 4th Season,Sparkly Key Animation Studio
660,Kaichou wa Maid-sama!,J.C.Staff
888,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,Kitty Film Mitaka Studio
381,Kuroko no Basket 2nd Season,Production I.G
254,One Outs,Madhouse
824,Ergo Proxy,Manglobe
709,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,Lerche
174,Golden Kamuy 3rd Season,Geno Studio
295,Redline,Madhouse
569,Ginga Eiyuu Densetsu: Die Neue These - Seiran 1,Production I.G
990,Oomuro-ke: Dear Sisters,Passione
990,Oomuro-ke: Dear Sisters,Studio Lings
514,Koukaku Kidoutai: Stand Alone Complex - Solid State Society,Production I.G
933,Magi: Sinbad no Bouken (TV),Lay-duce
423,Made in Abyss Movie 1: Tabidachi no Yoake,Kinema Citrus
785,City Hunter,Sunrise
231,K-On! Movie,Kyoto Animation
687,Yuri!!! on Ice: Yuri Plisetsky GPF in Barcelona EX - Welcome to The Madness,MAPPA
900,Meitantei Conan Movie 23: Konjou no Fist,TMS Entertainment
138,Kara no Kyoukai Movie 5: Mujun Rasen,ufotable
736,Wu Liuqi: Jiyi Suipian,Sharefun Studio
736,Wu Liuqi: Jiyi Suipian,AHA Entertainment
236,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,feel.
102,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Gainax
56,Mushishi Zoku Shou 2nd Season,Artland
802,Meitantei Conan OVA 09: 10-nengo no Stranger,TMS Entertainment
446,"Kamisama Hajimemashita: Kamisama, Shiawase ni Naru",TMS Entertainment
35,Jujutsu Kaisen 2nd Season,MAPPA
5,Shingeki no Kyojin Season 3 Part 2,Wit Studio
895,Kidou Senshi Gundam: Suisei no Majo,Sunrise
753,Love Live! Superstar!!,Sunrise
788,Full Metal Panic! The Second Raid,Kyoto Animation
542,Haikyuu!! Movie 2: Shousha to Haisha,Production I.G
568,Ginga Eiyuu Densetsu Gaiden (1999),K-Factory
199,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,P.A. Works
758,Shingeki no Kyojin Movie 2: Jiyuu no Tsubasa,Wit Studio
840,Zetsuen no Tempest,Bones
810,Aikatsu! 10th Story: Mirai e no Starway (2023),Bandai Namco Pictures
441,Cang Yuan Tu,Shenman Entertainment
725,Nagi no Asu kara,P.A. Works
46,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,A-1 Pictures
206,Made in Abyss Movie 2: Hourou Suru Tasogare,Kinema Citrus
555,Kuroko no Basket Movie 4: Last Game,Production I.G
118,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Gainax
118,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Production I.G
636,Full Metal Panic? Fumoffu,Kyoto Animation
719,Bishoujo Senshi Sailor Moon: Sailor Stars,Toei Animation
329,Shinsekai yori,A-1 Pictures
72,Howl no Ugoku Shiro,Studio Ghibli
596,Douluo Dalu II: Jueshi Tangmen,Sparkly Key Animation Studio
112,Natsume Yuujinchou Go,Shuka
549,Girls & Panzer: Saishuushou Part 2,Actas
958,Seihou Bukyou Outlaw Star,Sunrise
221,Mushoku Tensei: Isekai Ittara Honki Dasu,Studio Bind
584,Kuroshitsuji: Book of Murder,A-1 Pictures
386,Saiki Kusuo no ?-nan: Kanketsu-hen,J.C.Staff
386,Saiki Kusuo no ?-nan: Kanketsu-hen,Egg Firm
158,Gintama: The Semi-Final,Bandai Namco Pictures
680,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,Sunrise
832,Lupin III (2015),Telecom Animation Film
942,Wanmei Shijie,Foch Film
807,Trigun: Badlands Rumble,Madhouse
809,Vanitas no Karte,Bones
598,Azumanga Daiou The Animation,J.C.Staff
570,Hyouka,Kyoto Animation
875,Zhu Xian 2nd Season,Cloud Art
543,Hajime no Ippo: Boxer no Kobushi,Madhouse
388,xxxHOLiC?Kei,Production I.G
353,IDOLiSH7 Third Beat!,TROYCA
635,Black Lagoon: Roberta's Blood Trail,Madhouse
964,Umibe no Étranger,Studio Hibari
517,Precure All Stars Movie F,Toei Animation
504,Buddy Daddies,P.A. Works
213,Cross Game,SynergySP
412,Girls & Panzer Movie,Actas
21,Code Geass: Hangyaku no Lelouch R2,Sunrise
368,Tengoku Daimakyou,Production I.G
909,Wu Shan Wu Xing (2020),Samsara Animation Studio
316,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,White Fox
222,Non Non Biyori Nonstop,SILVER LINK.
755,Mawaru Penguindrum,Brain's Base
880,Giji Harem,Nomad
314,Nodame Cantabile,J.C.Staff
513,Kono Subarashii Sekai ni Shukufuku wo!,Studio Deen
495,Kamisama Hajimemashita,TMS Entertainment
111,Nana,Madhouse
706,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,MAPPA
490,Katekyou Hitman Reborn!,Artland
619,Kill la Kill,Trigger
123,JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,David Production
683,School Rumble Ni Gakki,Studio Comet
804,SKET Dance: Imouto no Nayami ni Nayamu Ani ni Nayamu Imouto to Sono Nakama-tachi,Tatsunoko Production
471,IDOLiSH7 Second Beat!,TROYCA
601,Gosick,Bones
362,Shoujo Shuumatsu Ryokou,White Fox
392,Great Pretender,Wit Studio
125,Fate/Zero 2nd Season,ufotable
357,Kono Sekai no Katasumi ni,MAPPA
303,Diamond no Ace: Act II,Madhouse
526,Gin no Saji,A-1 Pictures
210,Gintama°: Aizome Kaori-hen,Bandai Namco Pictures
281,Ookami to Koushinryou II,Brain's Base
281,Ookami to Koushinryou II,Marvy Jack
401,One Piece Movie 14: Stampede,Toei Animation
324,Dororo,Tezuka Productions
324,Dororo,MAPPA
810,Yuri!!! on Ice,MAPPA
679,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,Ajia-do
841,Zoku Sayonara Zetsubou Sensei,Shaft
50,Monogatari Series: Off & Monster Season,Shaft
450,Sono Bisque Doll wa Koi wo Suru,CloverWorks
947,Hoozuki no Reitetsu OVA,Studio Deen
947,Hoozuki no Reitetsu OVA,Wit Studio
404,Stand By Me Doraemon 2,Shirogumi
404,Stand By Me Doraemon 2,Shin-Ei Animation
457,Dr. Stone: New World,TMS Entertainment
718,Aria the Origination: Sono Choppiri Himitsu no Basho ni...,HAL Film Maker
657,D.Gray-man,TMS Entertainment
124,Kimi ni Todoke 3rd Season,Production I.G
609,Wan Sheng Jie 2,Fenz
609,Wan Sheng Jie 2,HMCH
447,Lycoris Recoil,A-1 Pictures
708,Youjo Senki,Nut
760,Wotaku ni Koi wa Muzukashii,A-1 Pictures
250,Natsume Yuujinchou: Itsuka Yuki no Hi ni,Brain's Base
200,Blue Giant,Nut
745,Kindaichi Shounen no Jikenbo,Toei Animation
766,Hidamari Sketch x Honeycomb,Shaft
473,Given: Uragawa no Sonzai,Lerche
640,Juuni Kokuki,Pierrot
173,Doupo Cangqiong: Nian Fan,Motion Magic
375,Magi: The Kingdom of Magic,A-1 Pictures
631,Wan Sheng Jie 3,Fenz
631,Wan Sheng Jie 3,HMCH
929,K-On!: Live House!,Kyoto Animation
0,Violet Evergarden CMs,Kyoto Animation
131,Gintama Movie 1: Shinyaku Benizakura-hen,Sunrise
694,Dragon Ball,Toei Animation
772,One Piece Film: Strong World Episode 0,Toei Animation
351,Bakemono no Ko,Studio Chizu
618,Karakai Jouzu no Takagi-san 2,Shin-Ei Animation
215,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),ufotable
860,Meitantei Conan Movie 02: 14-banme no Target,TMS Entertainment
40,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Production I.G
637,Ginga Nagareboshi Gin,Toei Animation
220,Meitantei Conan Movie 26: Kurogane no Submarine,TMS Entertainment
297,Suzume no Tojimari,CoMix Wave Films
406,xxxHOLiC Rou,Production I.G
781,Yakitate!! Japan,Sunrise
360,Nodame Cantabile Finale,J.C.Staff
394,InuYasha: Kanketsu-hen,Sunrise
697,Kakushigoto,Ajia-do
156,Banana Fish,MAPPA
773,Phantom: Requiem for the Phantom,Bee Train
337,Golden Kamuy 2nd Season,Geno Studio
523,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,Lerche
689,xxxHOLiC,Production I.G
319,Tsubasa: Tokyo Revelations,Production I.G
14,Bleach: Sennen Kessen-hen - Soukoku-tan,Pierrot Films
746,Kobato.,Madhouse
155,Yuu?Yuu?Hakusho,Pierrot
169,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,Studio Bind
165,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,White Fox
708,Yofukashi no Uta,LIDENFILMS
963,Tsuki ga Michibiku Isekai Douchuu 2nd Season,J.C.Staff
951,Haikyuu!! Riku vs. Kuu,Production I.G
325,Hunter x Hunter: Greed Island Final,Nippon Animation
617,Glass no Kamen (2005),Tokyo Movie Shinsha
545,Hidamari Sketch: Sae Hiro Sotsugyou-hen,Shaft
662,Kidou Senshi Gundam: Dai 08 MS Shoutai,Sunrise
726,Niehime to Kemono no Ou,J.C.Staff
130,Bakuman. 3rd Season,J.C.Staff
881,Higurashi no Naku Koro ni,Studio Deen
157,Chihayafuru 3,Madhouse
958,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,Project No.9
43,Shingeki no Kyojin: The Final Season Part 2,MAPPA
533,Tsubasa: Shunraiki,Production I.G
483,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season",C2C
751,Sakasama no Patema,Studio Rikka
751,Sakasama no Patema,Purple Cow Studio Japan
69,Violet Evergarden,Kyoto Animation
603,Omoide no Marnie,Studio Ghibli
875,Berserk: Ougon Jidai-hen II - Doldrey Kouryaku,Studio 4°C
416,Major S2,Studio Hibari
525,Durarara!!,Brain's Base
437,Holo no Graffiti,Hololive Production
444,Higurashi no Naku Koro ni Kai,Studio Deen
592,Angel Beats!,P.A. Works
604,Paprika,Madhouse
278,Kingdom 2nd Season,Pierrot
321,Hajime no Ippo: Champion Road,Madhouse
79,Haikyuu!! Movie: Gomisuteba no Kessen,Production I.G
469,Death Parade,Madhouse
737,Yi Nian Yong Heng,B.CMAY PICTURES
475,Kidou Senshi Gundam: The Origin - Zenya Akai Suisei,Sunrise
183,Saenai Heroine no Sodatekata Fine,CloverWorks
597,Haikyuu!! Movie 1: Owari to Hajimari,Production I.G
170,Grand Blue,Zero-G
572,Kamisama Hajimemashita OVA,TMS Entertainment
787,Eyeshield 21,Gallop
863,Jigoku Shoujo Futakomori,Studio Deen
935,Musekinin Kanchou Tylor,Tatsunoko Production
190,Shingeki no Kyojin: Kuinaki Sentaku,Wit Studio
877,Boku no Hero Academia 4th Season,Bones
890,High?Speed! Movie: Free! Starting Days,Kyoto Animation
327,Kuroshitsuji Movie: Book of the Atlantic,A-1 Pictures
0,Shelter (Music),A-1 Pictures
961,Tiger & Bunny,Sunrise
